Geno,F,M
DS11.13176,IA3023,LD02.9050
DS11.13177,IA3023,LD02.9050
DS11.13178,IA3023,LD02.9050
DS11.13179,IA3023,LD02.9050
DS11.13181,IA3023,LD02.9050
DS11.13182,IA3023,LD02.9050
DS11.13183,IA3023,LD02.9050
DS11.13184,IA3023,LD02.9050
DS11.13185,IA3023,LD02.9050
DS11.13186,IA3023,LD02.9050
DS11.13187,IA3023,LD02.9050
DS11.13188,IA3023,LD02.9050
DS11.13189,IA3023,LD02.9050
DS11.13190,IA3023,LD02.9050
DS11.14001,IA3023,PI595362
DS11.14002,IA3023,PI595362
DS11.14003,IA3023,PI595362
DS11.14004,IA3023,PI595362
DS11.14006,IA3023,PI595362
DS11.14009,IA3023,PI595362
DS11.14010,IA3023,PI595362
DS11.14012,IA3023,PI595362
DS11.14013,IA3023,PI595362
DS11.14014,IA3023,PI595362
DS11.14015,IA3023,PI595362
DS11.14017,IA3023,PI595362
DS11.14018,IA3023,PI595362
DS11.14025,IA3023,PI595362
DS11.14027,IA3023,PI595362
DS11.14028,IA3023,PI595362
DS11.14033,IA3023,PI595362
DS11.14034,IA3023,PI595362
DS11.14035,IA3023,PI595362
DS11.14036,IA3023,PI595362
DS11.14037,IA3023,PI595362
DS11.14040,IA3023,PI595362
DS11.14041,IA3023,PI595362
DS11.14042,IA3023,PI595362
DS11.14043,IA3023,PI595362
DS11.14049,IA3023,PI595362
DS11.14051,IA3023,PI595362
DS11.14052,IA3023,PI595362
DS11.14053,IA3023,PI595362
DS11.14054,IA3023,PI595362
DS11.14055,IA3023,PI595362
DS11.14056,IA3023,PI595362
DS11.14057,IA3023,PI595362
DS11.14060,IA3023,PI595362
DS11.14061,IA3023,PI595362
DS11.14063,IA3023,PI595362
DS11.14064,IA3023,PI595362
DS11.14065,IA3023,PI595362
DS11.14069,IA3023,PI595362
DS11.14070,IA3023,PI595362
DS11.14071,IA3023,PI595362
DS11.14072,IA3023,PI595362
DS11.14073,IA3023,PI595362
DS11.14074,IA3023,PI595362
DS11.14075,IA3023,PI595362
DS11.14076,IA3023,PI595362
DS11.14077,IA3023,PI595362
DS11.14080,IA3023,PI595362
DS11.14081,IA3023,PI595362
DS11.14082,IA3023,PI595362
DS11.14083,IA3023,PI595362
DS11.14084,IA3023,PI595362
DS11.14085,IA3023,PI595362
DS11.14086,IA3023,PI595362
DS11.14087,IA3023,PI595362
DS11.14088,IA3023,PI595362
DS11.14089,IA3023,PI595362
DS11.14090,IA3023,PI595362
DS11.14092,IA3023,PI595362
DS11.14093,IA3023,PI595362
DS11.14094,IA3023,PI595362
DS11.14095,IA3023,PI595362
DS11.14096,IA3023,PI595362
DS11.14097,IA3023,PI595362
DS11.14098,IA3023,PI595362
DS11.14099,IA3023,PI595362
DS11.14100,IA3023,PI595362
DS11.14101,IA3023,PI595362
DS11.14102,IA3023,PI595362
DS11.14108,IA3023,PI595362
DS11.14110,IA3023,PI595362
DS11.14111,IA3023,PI595362
DS11.14112,IA3023,PI595362
DS11.14113,IA3023,PI595362
DS11.14116,IA3023,PI595362
DS11.14118,IA3023,PI595362
DS11.14120,IA3023,PI595362
DS11.14121,IA3023,PI595362
DS11.14122,IA3023,PI595362
DS11.14123,IA3023,PI595362
DS11.14125,IA3023,PI595362
DS11.14126,IA3023,PI595362
DS11.14127,IA3023,PI595362
DS11.14129,IA3023,PI595362
DS11.14130,IA3023,PI595362
DS11.14133,IA3023,PI595362
DS11.14135,IA3023,PI595362
DS11.14137,IA3023,PI595362
DS11.14138,IA3023,PI595362
DS11.14139,IA3023,PI595362
DS11.14140,IA3023,PI595362
DS11.14141,IA3023,PI595362
DS11.14142,IA3023,PI595362
DS11.14143,IA3023,PI595362
DS11.14144,IA3023,PI595362
DS11.14146,IA3023,PI595362
DS11.14149,IA3023,PI595362
DS11.14150,IA3023,PI595362
DS11.14151,IA3023,PI595362
DS11.14152,IA3023,PI595362
DS11.14156,IA3023,PI595362
DS11.14160,IA3023,PI595362
DS11.14161,IA3023,PI595362
DS11.14162,IA3023,PI595362
DS11.14164,IA3023,PI595362
DS11.14166,IA3023,PI595362
DS11.14167,IA3023,PI595362
DS11.14168,IA3023,PI595362
DS11.14170,IA3023,PI595362
DS11.14171,IA3023,PI595362
DS11.14174,IA3023,PI595362
DS11.14176,IA3023,PI595362
DS11.14178,IA3023,PI595362
DS11.14179,IA3023,PI595362
DS11.14182,IA3023,PI595362
DS11.14183,IA3023,PI595362
DS11.14184,IA3023,PI595362
DS11.14185,IA3023,PI595362
DS11.14186,IA3023,PI595362
DS11.14187,IA3023,PI595362
DS11.14188,IA3023,PI595362
DS11.14189,IA3023,PI595362
DS11.14190,IA3023,PI595362
DS11.14191,IA3023,PI595362
DS11.14192,IA3023,PI595362
DS11.14194,IA3023,PI595362
DS11.14196,IA3023,PI595362
DS11.14199,IA3023,PI595362
DS11.14200,IA3023,PI595362
DS11.14201,IA3023,PI595362
DS11.14202,IA3023,PI595362
DS11.14204,IA3023,PI595362
DS11.14206,IA3023,PI595362
DS11.14207,IA3023,PI595362
DS11.14209,IA3023,PI595362
DS11.14210,IA3023,PI595362
DS11.14214,IA3023,PI595362
DS11.15001,IA3023,PI598124
DS11.15002,IA3023,PI598124
DS11.15003,IA3023,PI598124
DS11.15004,IA3023,PI598124
DS11.15005,IA3023,PI598124
DS11.15006,IA3023,PI598124
DS11.15007,IA3023,PI598124
DS11.15012,IA3023,PI598124
DS11.15013,IA3023,PI598124
DS11.15016,IA3023,PI598124
DS11.15018,IA3023,PI598124
DS11.15019,IA3023,PI598124
DS11.15020,IA3023,PI598124
DS11.15021,IA3023,PI598124
DS11.15022,IA3023,PI598124
DS11.15023,IA3023,PI598124
DS11.15024,IA3023,PI598124
DS11.15025,IA3023,PI598124
DS11.15027,IA3023,PI598124
DS11.15028,IA3023,PI598124
DS11.15030,IA3023,PI598124
DS11.15031,IA3023,PI598124
DS11.15032,IA3023,PI598124
DS11.15033,IA3023,PI598124
DS11.15034,IA3023,PI598124
DS11.15035,IA3023,PI598124
DS11.15036,IA3023,PI598124
DS11.15037,IA3023,PI598124
DS11.15039,IA3023,PI598124
DS11.15040,IA3023,PI598124
DS11.15041,IA3023,PI598124
DS11.15043,IA3023,PI598124
DS11.15044,IA3023,PI598124
DS11.15045,IA3023,PI598124
DS11.15046,IA3023,PI598124
DS11.15047,IA3023,PI598124
DS11.15049,IA3023,PI598124
DS11.15050,IA3023,PI598124
DS11.15051,IA3023,PI598124
DS11.15052,IA3023,PI598124
DS11.15053,IA3023,PI598124
DS11.15059,IA3023,PI598124
DS11.15060,IA3023,PI598124
DS11.15062,IA3023,PI598124
DS11.15063,IA3023,PI598124
DS11.15065,IA3023,PI598124
DS11.15068,IA3023,PI598124
DS11.15069,IA3023,PI598124
DS11.15070,IA3023,PI598124
DS11.15071,IA3023,PI598124
DS11.15072,IA3023,PI598124
DS11.15073,IA3023,PI598124
DS11.15075,IA3023,PI598124
DS11.15077,IA3023,PI598124
DS11.15079,IA3023,PI598124
DS11.15080,IA3023,PI598124
DS11.15081,IA3023,PI598124
DS11.15083,IA3023,PI598124
DS11.15084,IA3023,PI598124
DS11.15085,IA3023,PI598124
DS11.15086,IA3023,PI598124
DS11.15087,IA3023,PI598124
DS11.15088,IA3023,PI598124
DS11.15089,IA3023,PI598124
DS11.15090,IA3023,PI598124
DS11.15091,IA3023,PI598124
DS11.15092,IA3023,PI598124
DS11.15093,IA3023,PI598124
DS11.15094,IA3023,PI598124
DS11.15095,IA3023,PI598124
DS11.15114,IA3023,PI598124
DS11.15115,IA3023,PI598124
DS11.15116,IA3023,PI598124
DS11.15117,IA3023,PI598124
DS11.15119,IA3023,PI598124
DS11.15121,IA3023,PI598124
DS11.15123,IA3023,PI598124
DS11.15125,IA3023,PI598124
DS11.15126,IA3023,PI598124
DS11.15128,IA3023,PI598124
DS11.15129,IA3023,PI598124
DS11.15130,IA3023,PI598124
DS11.15131,IA3023,PI598124
DS11.15133,IA3023,PI598124
DS11.15135,IA3023,PI598124
DS11.15136,IA3023,PI598124
DS11.15137,IA3023,PI598124
DS11.15138,IA3023,PI598124
DS11.15140,IA3023,PI598124
DS11.15142,IA3023,PI598124
DS11.15143,IA3023,PI598124
DS11.15144,IA3023,PI598124
DS11.15145,IA3023,PI598124
DS11.15150,IA3023,PI598124
DS11.15152,IA3023,PI598124
DS11.15153,IA3023,PI598124
DS11.15154,IA3023,PI598124
DS11.15156,IA3023,PI598124
DS11.15159,IA3023,PI598124
DS11.15161,IA3023,PI598124
DS11.15163,IA3023,PI598124
DS11.15164,IA3023,PI598124
DS11.15167,IA3023,PI598124
DS11.15168,IA3023,PI598124
DS11.15170,IA3023,PI598124
DS11.15171,IA3023,PI598124
DS11.15173,IA3023,PI598124
DS11.15174,IA3023,PI598124
DS11.15175,IA3023,PI598124
DS11.15176,IA3023,PI598124
DS11.15177,IA3023,PI598124
DS11.15178,IA3023,PI598124
DS11.15179,IA3023,PI598124
DS11.15184,IA3023,PI598124
DS11.15185,IA3023,PI598124
DS11.15186,IA3023,PI598124
DS11.15187,IA3023,PI598124
DS11.15188,IA3023,PI598124
DS11.15190,IA3023,PI598124
DS11.15193,IA3023,PI598124
DS11.15194,IA3023,PI598124
DS11.15195,IA3023,PI598124
DS11.15196,IA3023,PI598124
DS11.15198,IA3023,PI598124
DS11.15200,IA3023,PI598124
DS11.15202,IA3023,PI598124
DS11.15203,IA3023,PI598124
DS11.15207,IA3023,PI598124
DS11.15208,IA3023,PI598124
DS11.15209,IA3023,PI598124
DS11.15210,IA3023,PI598124
DS11.15212,IA3023,PI598124
DS11.15213,IA3023,PI598124
DS11.15214,IA3023,PI598124
DS11.15215,IA3023,PI598124
DS11.15218,IA3023,PI598124
DS11.15219,IA3023,PI598124
DS11.15222,IA3023,PI598124
DS11.15223,IA3023,PI598124
DS11.17004,IA3023,S06.13640
DS11.17005,IA3023,S06.13640
DS11.17006,IA3023,S06.13640
DS11.17007,IA3023,S06.13640
DS11.17008,IA3023,S06.13640
DS11.17009,IA3023,S06.13640
DS11.17010,IA3023,S06.13640
DS11.17011,IA3023,S06.13640
DS11.17013,IA3023,S06.13640
DS11.17014,IA3023,S06.13640
DS11.17015,IA3023,S06.13640
DS11.17018,IA3023,S06.13640
DS11.17020,IA3023,S06.13640
DS11.17021,IA3023,S06.13640
DS11.17022,IA3023,S06.13640
DS11.17024,IA3023,S06.13640
DS11.17025,IA3023,S06.13640
DS11.17027,IA3023,S06.13640
DS11.17030,IA3023,S06.13640
DS11.17031,IA3023,S06.13640
DS11.17034,IA3023,S06.13640
DS11.17035,IA3023,S06.13640
DS11.17039,IA3023,S06.13640
DS11.17040,IA3023,S06.13640
DS11.17042,IA3023,S06.13640
DS11.17044,IA3023,S06.13640
DS11.17046,IA3023,S06.13640
DS11.17047,IA3023,S06.13640
DS11.17048,IA3023,S06.13640
DS11.17049,IA3023,S06.13640
DS11.17052,IA3023,S06.13640
DS11.17056,IA3023,S06.13640
DS11.17058,IA3023,S06.13640
DS11.17059,IA3023,S06.13640
DS11.17062,IA3023,S06.13640
DS11.17063,IA3023,S06.13640
DS11.17066,IA3023,S06.13640
DS11.17068,IA3023,S06.13640
DS11.17074,IA3023,S06.13640
DS11.17075,IA3023,S06.13640
DS11.17076,IA3023,S06.13640
DS11.17077,IA3023,S06.13640
DS11.17078,IA3023,S06.13640
DS11.17080,IA3023,S06.13640
DS11.17081,IA3023,S06.13640
DS11.17087,IA3023,S06.13640
DS11.17088,IA3023,S06.13640
DS11.17089,IA3023,S06.13640
DS11.17091,IA3023,S06.13640
DS11.17096,IA3023,S06.13640
DS11.17100,IA3023,S06.13640
DS11.17101,IA3023,S06.13640
DS11.17102,IA3023,S06.13640
DS11.17104,IA3023,S06.13640
DS11.17105,IA3023,S06.13640
DS11.17106,IA3023,S06.13640
DS11.17107,IA3023,S06.13640
DS11.17110,IA3023,S06.13640
DS11.17113,IA3023,S06.13640
DS11.17115,IA3023,S06.13640
DS11.17119,IA3023,S06.13640
DS11.17121,IA3023,S06.13640
DS11.17123,IA3023,S06.13640
DS11.17125,IA3023,S06.13640
DS11.17127,IA3023,S06.13640
DS11.17128,IA3023,S06.13640
DS11.17130,IA3023,S06.13640
DS11.17131,IA3023,S06.13640
DS11.17132,IA3023,S06.13640
DS11.17133,IA3023,S06.13640
DS11.17135,IA3023,S06.13640
DS11.17136,IA3023,S06.13640
DS11.17137,IA3023,S06.13640
DS11.17139,IA3023,S06.13640
DS11.17140,IA3023,S06.13640
DS11.17141,IA3023,S06.13640
DS11.17142,IA3023,S06.13640
DS11.17144,IA3023,S06.13640
DS11.17147,IA3023,S06.13640
DS11.17148,IA3023,S06.13640
DS11.17151,IA3023,S06.13640
DS11.17152,IA3023,S06.13640
DS11.17153,IA3023,S06.13640
DS11.17155,IA3023,S06.13640
DS11.17156,IA3023,S06.13640
DS11.17157,IA3023,S06.13640
DS11.17159,IA3023,S06.13640
DS11.17160,IA3023,S06.13640
DS11.17162,IA3023,S06.13640
DS11.17163,IA3023,S06.13640
DS11.17166,IA3023,S06.13640
DS11.17168,IA3023,S06.13640
DS11.17169,IA3023,S06.13640
DS11.17173,IA3023,S06.13640
DS11.17174,IA3023,S06.13640
DS11.17177,IA3023,S06.13640
DS11.17181,IA3023,S06.13640
DS11.17183,IA3023,S06.13640
DS11.17184,IA3023,S06.13640
DS11.17185,IA3023,S06.13640
DS11.17186,IA3023,S06.13640
DS11.17187,IA3023,S06.13640
DS11.17188,IA3023,S06.13640
DS11.17189,IA3023,S06.13640
DS11.17190,IA3023,S06.13640
DS11.17191,IA3023,S06.13640
DS11.17192,IA3023,S06.13640
DS11.17193,IA3023,S06.13640
DS11.17194,IA3023,S06.13640
DS11.17195,IA3023,S06.13640
DS11.17198,IA3023,S06.13640
DS11.17199,IA3023,S06.13640
DS11.17200,IA3023,S06.13640
DS11.17203,IA3023,S06.13640
DS11.17204,IA3023,S06.13640
DS11.17205,IA3023,S06.13640
DS11.17206,IA3023,S06.13640
DS11.17207,IA3023,S06.13640
DS11.17208,IA3023,S06.13640
DS11.17209,IA3023,S06.13640
DS11.17211,IA3023,S06.13640
DS11.17212,IA3023,S06.13640
DS11.17216,IA3023,S06.13640
DS11.17219,IA3023,S06.13640
DS11.17221,IA3023,S06.13640
DS11.17222,IA3023,S06.13640
DS11.17223,IA3023,S06.13640
DS11.17226,IA3023,S06.13640
DS11.17227,IA3023,S06.13640
DS11.17229,IA3023,S06.13640
DS11.17230,IA3023,S06.13640
DS11.17231,IA3023,S06.13640
DS11.17233,IA3023,S06.13640
DS11.17235,IA3023,S06.13640
DS11.17236,IA3023,S06.13640
DS11.17237,IA3023,S06.13640
DS11.22001,IA3023,PI639693
DS11.22003,IA3023,PI639693
DS11.22004,IA3023,PI639693
DS11.22005,IA3023,PI639693
DS11.22007,IA3023,PI639693
DS11.22008,IA3023,PI639693
DS11.22009,IA3023,PI639693
DS11.22010,IA3023,PI639693
DS11.22011,IA3023,PI639693
DS11.22012,IA3023,PI639693
DS11.22014,IA3023,PI639693
DS11.22015,IA3023,PI639693
DS11.22016,IA3023,PI639693
DS11.22017,IA3023,PI639693
DS11.22018,IA3023,PI639693
DS11.22019,IA3023,PI639693
DS11.22020,IA3023,PI639693
DS11.22021,IA3023,PI639693
DS11.22022,IA3023,PI639693
DS11.22023,IA3023,PI639693
DS11.22024,IA3023,PI639693
DS11.22025,IA3023,PI639693
DS11.22026,IA3023,PI639693
DS11.22027,IA3023,PI639693
DS11.22028,IA3023,PI639693
DS11.22030,IA3023,PI639693
DS11.22032,IA3023,PI639693
DS11.22033,IA3023,PI639693
DS11.22034,IA3023,PI639693
DS11.22035,IA3023,PI639693
DS11.22037,IA3023,PI639693
DS11.22042,IA3023,PI639693
DS11.22045,IA3023,PI639693
DS11.22046,IA3023,PI639693
DS11.22048,IA3023,PI639693
DS11.22049,IA3023,PI639693
DS11.22050,IA3023,PI639693
DS11.22051,IA3023,PI639693
DS11.22052,IA3023,PI639693
DS11.22053,IA3023,PI639693
DS11.22054,IA3023,PI639693
DS11.22055,IA3023,PI639693
DS11.22056,IA3023,PI639693
DS11.22057,IA3023,PI639693
DS11.22058,IA3023,PI639693
DS11.22059,IA3023,PI639693
DS11.22060,IA3023,PI639693
DS11.22061,IA3023,PI639693
DS11.22062,IA3023,PI639693
DS11.22063,IA3023,PI639693
DS11.22065,IA3023,PI639693
DS11.22066,IA3023,PI639693
DS11.22067,IA3023,PI639693
DS11.22068,IA3023,PI639693
DS11.22069,IA3023,PI639693
DS11.22070,IA3023,PI639693
DS11.22071,IA3023,PI639693
DS11.22072,IA3023,PI639693
DS11.22073,IA3023,PI639693
DS11.22074,IA3023,PI639693
DS11.22075,IA3023,PI639693
DS11.22076,IA3023,PI639693
DS11.22077,IA3023,PI639693
DS11.22078,IA3023,PI639693
DS11.22080,IA3023,PI639693
DS11.22081,IA3023,PI639693
DS11.22082,IA3023,PI639693
DS11.22083,IA3023,PI639693
DS11.22084,IA3023,PI639693
DS11.22085,IA3023,PI639693
DS11.22092,IA3023,PI639693
DS11.22093,IA3023,PI639693
DS11.22095,IA3023,PI639693
DS11.22096,IA3023,PI639693
DS11.22097,IA3023,PI639693
DS11.22098,IA3023,PI639693
DS11.22099,IA3023,PI639693
DS11.22100,IA3023,PI639693
DS11.22101,IA3023,PI639693
DS11.22102,IA3023,PI639693
DS11.22103,IA3023,PI639693
DS11.22104,IA3023,PI639693
DS11.22105,IA3023,PI639693
DS11.22108,IA3023,PI639693
DS11.22109,IA3023,PI639693
DS11.22110,IA3023,PI639693
DS11.22111,IA3023,PI639693
DS11.22112,IA3023,PI639693
DS11.22113,IA3023,PI639693
DS11.22114,IA3023,PI639693
DS11.22115,IA3023,PI639693
DS11.22117,IA3023,PI639693
DS11.22118,IA3023,PI639693
DS11.22120,IA3023,PI639693
DS11.22121,IA3023,PI639693
DS11.22122,IA3023,PI639693
DS11.22123,IA3023,PI639693
DS11.22125,IA3023,PI639693
DS11.22127,IA3023,PI639693
DS11.22129,IA3023,PI639693
DS11.22131,IA3023,PI639693
DS11.22134,IA3023,PI639693
DS11.22135,IA3023,PI639693
DS11.22136,IA3023,PI639693
DS11.22137,IA3023,PI639693
DS11.22140,IA3023,PI639693
DS11.22141,IA3023,PI639693
DS11.22142,IA3023,PI639693
DS11.22143,IA3023,PI639693
DS11.22144,IA3023,PI639693
DS11.22145,IA3023,PI639693
DS11.22146,IA3023,PI639693
DS11.22148,IA3023,PI639693
DS11.22149,IA3023,PI639693
DS11.22150,IA3023,PI639693
DS11.22153,IA3023,PI639693
DS11.22154,IA3023,PI639693
DS11.22156,IA3023,PI639693
DS11.22158,IA3023,PI639693
DS11.22159,IA3023,PI639693
DS11.22160,IA3023,PI639693
DS11.22161,IA3023,PI639693
DS11.22163,IA3023,PI639693
DS11.22164,IA3023,PI639693
DS11.22165,IA3023,PI639693
DS11.22166,IA3023,PI639693
DS11.22167,IA3023,PI639693
DS11.22168,IA3023,PI639693
DS11.22170,IA3023,PI639693
DS11.22171,IA3023,PI639693
DS11.22172,IA3023,PI639693
DS11.22174,IA3023,PI639693
DS11.22175,IA3023,PI639693
DS11.22176,IA3023,PI639693
DS11.22177,IA3023,PI639693
DS11.22178,IA3023,PI639693
DS11.22179,IA3023,PI639693
DS11.22180,IA3023,PI639693
DS11.23001,IA3023,U03.100612
DS11.23002,IA3023,U03.100612
DS11.23003,IA3023,U03.100612
DS11.23004,IA3023,U03.100612
DS11.23005,IA3023,U03.100612
DS11.23006,IA3023,U03.100612
DS11.23007,IA3023,U03.100612
DS11.23008,IA3023,U03.100612
DS11.23009,IA3023,U03.100612
DS11.23011,IA3023,U03.100612
DS11.23012,IA3023,U03.100612
DS11.23013,IA3023,U03.100612
DS11.23014,IA3023,U03.100612
DS11.23015,IA3023,U03.100612
DS11.23016,IA3023,U03.100612
DS11.23017,IA3023,U03.100612
DS11.23018,IA3023,U03.100612
DS11.23019,IA3023,U03.100612
DS11.23020,IA3023,U03.100612
DS11.23021,IA3023,U03.100612
DS11.23022,IA3023,U03.100612
DS11.23023,IA3023,U03.100612
DS11.23024,IA3023,U03.100612
DS11.23025,IA3023,U03.100612
DS11.23026,IA3023,U03.100612
DS11.23027,IA3023,U03.100612
DS11.23028,IA3023,U03.100612
DS11.23029,IA3023,U03.100612
DS11.23030,IA3023,U03.100612
DS11.23031,IA3023,U03.100612
DS11.23032,IA3023,U03.100612
DS11.23033,IA3023,U03.100612
DS11.23034,IA3023,U03.100612
DS11.23035,IA3023,U03.100612
DS11.23036,IA3023,U03.100612
DS11.23037,IA3023,U03.100612
DS11.23038,IA3023,U03.100612
DS11.23039,IA3023,U03.100612
DS11.23040,IA3023,U03.100612
DS11.23041,IA3023,U03.100612
DS11.23042,IA3023,U03.100612
DS11.23043,IA3023,U03.100612
DS11.23044,IA3023,U03.100612
DS11.23045,IA3023,U03.100612
DS11.23046,IA3023,U03.100612
DS11.23047,IA3023,U03.100612
DS11.23048,IA3023,U03.100612
DS11.23049,IA3023,U03.100612
DS11.23050,IA3023,U03.100612
DS11.23051,IA3023,U03.100612
DS11.23052,IA3023,U03.100612
DS11.23053,IA3023,U03.100612
DS11.23054,IA3023,U03.100612
DS11.23055,IA3023,U03.100612
DS11.23056,IA3023,U03.100612
DS11.23057,IA3023,U03.100612
DS11.23058,IA3023,U03.100612
DS11.23060,IA3023,U03.100612
DS11.23061,IA3023,U03.100612
DS11.23062,IA3023,U03.100612
DS11.23063,IA3023,U03.100612
DS11.23064,IA3023,U03.100612
DS11.23065,IA3023,U03.100612
DS11.23066,IA3023,U03.100612
DS11.23067,IA3023,U03.100612
DS11.23068,IA3023,U03.100612
DS11.23069,IA3023,U03.100612
DS11.23070,IA3023,U03.100612
DS11.23071,IA3023,U03.100612
DS11.23072,IA3023,U03.100612
DS11.23094,IA3023,U03.100612
DS11.23095,IA3023,U03.100612
DS11.23096,IA3023,U03.100612
DS11.23097,IA3023,U03.100612
DS11.23098,IA3023,U03.100612
DS11.23099,IA3023,U03.100612
DS11.23100,IA3023,U03.100612
DS11.23101,IA3023,U03.100612
DS11.23102,IA3023,U03.100612
DS11.23103,IA3023,U03.100612
DS11.23105,IA3023,U03.100612
DS11.23106,IA3023,U03.100612
DS11.23107,IA3023,U03.100612
DS11.23108,IA3023,U03.100612
DS11.23109,IA3023,U03.100612
DS11.23110,IA3023,U03.100612
DS11.23111,IA3023,U03.100612
DS11.23112,IA3023,U03.100612
DS11.23113,IA3023,U03.100612
DS11.23116,IA3023,U03.100612
DS11.23117,IA3023,U03.100612
DS11.23118,IA3023,U03.100612
DS11.23119,IA3023,U03.100612
DS11.23120,IA3023,U03.100612
DS11.23130,IA3023,U03.100612
DS11.23131,IA3023,U03.100612
DS11.23133,IA3023,U03.100612
DS11.23134,IA3023,U03.100612
DS11.23135,IA3023,U03.100612
DS11.23136,IA3023,U03.100612
DS11.23139,IA3023,U03.100612
DS11.23140,IA3023,U03.100612
DS11.23141,IA3023,U03.100612
DS11.23142,IA3023,U03.100612
DS11.23143,IA3023,U03.100612
DS11.23144,IA3023,U03.100612
DS11.23147,IA3023,U03.100612
DS11.23148,IA3023,U03.100612
DS11.23149,IA3023,U03.100612
DS11.23150,IA3023,U03.100612
DS11.23151,IA3023,U03.100612
DS11.23152,IA3023,U03.100612
DS11.23153,IA3023,U03.100612
DS11.23155,IA3023,U03.100612
DS11.23157,IA3023,U03.100612
DS11.23158,IA3023,U03.100612
DS11.23159,IA3023,U03.100612
DS11.23161,IA3023,U03.100612
DS11.23162,IA3023,U03.100612
DS11.23163,IA3023,U03.100612
DS11.23164,IA3023,U03.100612
DS11.23165,IA3023,U03.100612
DS11.23166,IA3023,U03.100612
DS11.23168,IA3023,U03.100612
DS11.23169,IA3023,U03.100612
DS11.23171,IA3023,U03.100612
DS11.23172,IA3023,U03.100612
DS11.23173,IA3023,U03.100612
DS11.23174,IA3023,U03.100612
DS11.23175,IA3023,U03.100612
DS11.23176,IA3023,U03.100612
DS11.23177,IA3023,U03.100612
DS11.23178,IA3023,U03.100612
DS11.23180,IA3023,U03.100612
DS11.23181,IA3023,U03.100612
DS11.23182,IA3023,U03.100612
DS11.23184,IA3023,U03.100612
DS11.23187,IA3023,U03.100612
DS11.23188,IA3023,U03.100612
DS11.23189,IA3023,U03.100612
DS11.24002,IA3023,LG03.2979
DS11.24003,IA3023,LG03.2979
DS11.24005,IA3023,LG03.2979
DS11.24008,IA3023,LG03.2979
DS11.24009,IA3023,LG03.2979
DS11.24010,IA3023,LG03.2979
DS11.24011,IA3023,LG03.2979
DS11.24012,IA3023,LG03.2979
DS11.24013,IA3023,LG03.2979
DS11.24014,IA3023,LG03.2979
DS11.24015,IA3023,LG03.2979
DS11.24016,IA3023,LG03.2979
DS11.24017,IA3023,LG03.2979
DS11.24018,IA3023,LG03.2979
DS11.24019,IA3023,LG03.2979
DS11.24020,IA3023,LG03.2979
DS11.24022,IA3023,LG03.2979
DS11.24023,IA3023,LG03.2979
DS11.24024,IA3023,LG03.2979
DS11.24025,IA3023,LG03.2979
DS11.24026,IA3023,LG03.2979
DS11.24027,IA3023,LG03.2979
DS11.24028,IA3023,LG03.2979
DS11.24030,IA3023,LG03.2979
DS11.24032,IA3023,LG03.2979
DS11.24033,IA3023,LG03.2979
DS11.24034,IA3023,LG03.2979
DS11.24036,IA3023,LG03.2979
DS11.24037,IA3023,LG03.2979
DS11.24038,IA3023,LG03.2979
DS11.24039,IA3023,LG03.2979
DS11.24040,IA3023,LG03.2979
DS11.24041,IA3023,LG03.2979
DS11.24042,IA3023,LG03.2979
DS11.24043,IA3023,LG03.2979
DS11.24044,IA3023,LG03.2979
DS11.24045,IA3023,LG03.2979
DS11.24046,IA3023,LG03.2979
DS11.24048,IA3023,LG03.2979
DS11.24049,IA3023,LG03.2979
DS11.24050,IA3023,LG03.2979
DS11.24051,IA3023,LG03.2979
DS11.24052,IA3023,LG03.2979
DS11.24054,IA3023,LG03.2979
DS11.24055,IA3023,LG03.2979
DS11.24056,IA3023,LG03.2979
DS11.24057,IA3023,LG03.2979
DS11.24059,IA3023,LG03.2979
DS11.24060,IA3023,LG03.2979
DS11.24061,IA3023,LG03.2979
DS11.24062,IA3023,LG03.2979
DS11.24063,IA3023,LG03.2979
DS11.24064,IA3023,LG03.2979
DS11.24065,IA3023,LG03.2979
DS11.24066,IA3023,LG03.2979
DS11.24067,IA3023,LG03.2979
DS11.24068,IA3023,LG03.2979
DS11.24069,IA3023,LG03.2979
DS11.24070,IA3023,LG03.2979
DS11.24071,IA3023,LG03.2979
DS11.24072,IA3023,LG03.2979
DS11.24073,IA3023,LG03.2979
DS11.24074,IA3023,LG03.2979
DS11.24075,IA3023,LG03.2979
DS11.24076,IA3023,LG03.2979
DS11.24077,IA3023,LG03.2979
DS11.24078,IA3023,LG03.2979
DS11.24080,IA3023,LG03.2979
DS11.24081,IA3023,LG03.2979
DS11.24082,IA3023,LG03.2979
DS11.24103,IA3023,LG03.2979
DS11.24106,IA3023,LG03.2979
DS11.24110,IA3023,LG03.2979
DS11.24111,IA3023,LG03.2979
DS11.24112,IA3023,LG03.2979
DS11.24113,IA3023,LG03.2979
DS11.24115,IA3023,LG03.2979
DS11.24116,IA3023,LG03.2979
DS11.24117,IA3023,LG03.2979
DS11.24118,IA3023,LG03.2979
DS11.24120,IA3023,LG03.2979
DS11.24121,IA3023,LG03.2979
DS11.24122,IA3023,LG03.2979
DS11.24123,IA3023,LG03.2979
DS11.24124,IA3023,LG03.2979
DS11.24127,IA3023,LG03.2979
DS11.24128,IA3023,LG03.2979
DS11.24129,IA3023,LG03.2979
DS11.24130,IA3023,LG03.2979
DS11.24131,IA3023,LG03.2979
