Geno,F,M
DS11.04222,IA3023,X5M20.2.5.2
DS11.04223,IA3023,X5M20.2.5.2
DS11.04225,IA3023,X5M20.2.5.2
DS11.05001,IA3023,CL0J095.4.6
DS11.05002,IA3023,CL0J095.4.6
DS11.05004,IA3023,CL0J095.4.6
DS11.05006,IA3023,CL0J095.4.6
DS11.05007,IA3023,CL0J095.4.6
DS11.05008,IA3023,CL0J095.4.6
DS11.05009,IA3023,CL0J095.4.6
DS11.05010,IA3023,CL0J095.4.6
DS11.05011,IA3023,CL0J095.4.6
DS11.05012,IA3023,CL0J095.4.6
DS11.05013,IA3023,CL0J095.4.6
DS11.05015,IA3023,CL0J095.4.6
DS11.05016,IA3023,CL0J095.4.6
DS11.05017,IA3023,CL0J095.4.6
DS11.05018,IA3023,CL0J095.4.6
DS11.05021,IA3023,CL0J095.4.6
DS11.05023,IA3023,CL0J095.4.6
DS11.05025,IA3023,CL0J095.4.6
DS11.05027,IA3023,CL0J095.4.6
DS11.05028,IA3023,CL0J095.4.6
DS11.05029,IA3023,CL0J095.4.6
DS11.05030,IA3023,CL0J095.4.6
DS11.05035,IA3023,CL0J095.4.6
DS11.05036,IA3023,CL0J095.4.6
DS11.05037,IA3023,CL0J095.4.6
DS11.05039,IA3023,CL0J095.4.6
DS11.05040,IA3023,CL0J095.4.6
DS11.05041,IA3023,CL0J095.4.6
DS11.05042,IA3023,CL0J095.4.6
DS11.05043,IA3023,CL0J095.4.6
DS11.05044,IA3023,CL0J095.4.6
DS11.05046,IA3023,CL0J095.4.6
DS11.05047,IA3023,CL0J095.4.6
DS11.05048,IA3023,CL0J095.4.6
DS11.05049,IA3023,CL0J095.4.6
DS11.05052,IA3023,CL0J095.4.6
DS11.05053,IA3023,CL0J095.4.6
DS11.05055,IA3023,CL0J095.4.6
DS11.05056,IA3023,CL0J095.4.6
DS11.05058,IA3023,CL0J095.4.6
DS11.05059,IA3023,CL0J095.4.6
DS11.05061,IA3023,CL0J095.4.6
DS11.05063,IA3023,CL0J095.4.6
DS11.05064,IA3023,CL0J095.4.6
DS11.05066,IA3023,CL0J095.4.6
DS11.05067,IA3023,CL0J095.4.6
DS11.05068,IA3023,CL0J095.4.6
DS11.05069,IA3023,CL0J095.4.6
DS11.05071,IA3023,CL0J095.4.6
DS11.05072,IA3023,CL0J095.4.6
DS11.05074,IA3023,CL0J095.4.6
DS11.05075,IA3023,CL0J095.4.6
DS11.05076,IA3023,CL0J095.4.6
DS11.05078,IA3023,CL0J095.4.6
DS11.05079,IA3023,CL0J095.4.6
DS11.05080,IA3023,CL0J095.4.6
DS11.05081,IA3023,CL0J095.4.6
DS11.05083,IA3023,CL0J095.4.6
DS11.05084,IA3023,CL0J095.4.6
DS11.05085,IA3023,CL0J095.4.6
DS11.05086,IA3023,CL0J095.4.6
DS11.05089,IA3023,CL0J095.4.6
DS11.05090,IA3023,CL0J095.4.6
DS11.05091,IA3023,CL0J095.4.6
DS11.05093,IA3023,CL0J095.4.6
DS11.05094,IA3023,CL0J095.4.6
DS11.05095,IA3023,CL0J095.4.6
DS11.05096,IA3023,CL0J095.4.6
DS11.05098,IA3023,CL0J095.4.6
DS11.05108,IA3023,CL0J095.4.6
DS11.05110,IA3023,CL0J095.4.6
DS11.05111,IA3023,CL0J095.4.6
DS11.05113,IA3023,CL0J095.4.6
DS11.05114,IA3023,CL0J095.4.6
DS11.05117,IA3023,CL0J095.4.6
DS11.05118,IA3023,CL0J095.4.6
DS11.05119,IA3023,CL0J095.4.6
DS11.05121,IA3023,CL0J095.4.6
DS11.05122,IA3023,CL0J095.4.6
DS11.05123,IA3023,CL0J095.4.6
DS11.05124,IA3023,CL0J095.4.6
DS11.05125,IA3023,CL0J095.4.6
DS11.05126,IA3023,CL0J095.4.6
DS11.05127,IA3023,CL0J095.4.6
DS11.05128,IA3023,CL0J095.4.6
DS11.05129,IA3023,CL0J095.4.6
DS11.05130,IA3023,CL0J095.4.6
DS11.05133,IA3023,CL0J095.4.6
DS11.05134,IA3023,CL0J095.4.6
DS11.05135,IA3023,CL0J095.4.6
DS11.05136,IA3023,CL0J095.4.6
DS11.05137,IA3023,CL0J095.4.6
DS11.05138,IA3023,CL0J095.4.6
DS11.05139,IA3023,CL0J095.4.6
DS11.05140,IA3023,CL0J095.4.6
DS11.05141,IA3023,CL0J095.4.6
DS11.05142,IA3023,CL0J095.4.6
DS11.05143,IA3023,CL0J095.4.6
DS11.05145,IA3023,CL0J095.4.6
DS11.05146,IA3023,CL0J095.4.6
DS11.05147,IA3023,CL0J095.4.6
DS11.05148,IA3023,CL0J095.4.6
DS11.05149,IA3023,CL0J095.4.6
DS11.05150,IA3023,CL0J095.4.6
DS11.05151,IA3023,CL0J095.4.6
DS11.05152,IA3023,CL0J095.4.6
DS11.05153,IA3023,CL0J095.4.6
DS11.05155,IA3023,CL0J095.4.6
DS11.05156,IA3023,CL0J095.4.6
DS11.05157,IA3023,CL0J095.4.6
DS11.05158,IA3023,CL0J095.4.6
DS11.05160,IA3023,CL0J095.4.6
DS11.05165,IA3023,CL0J095.4.6
DS11.05166,IA3023,CL0J095.4.6
DS11.05169,IA3023,CL0J095.4.6
DS11.05170,IA3023,CL0J095.4.6
DS11.05171,IA3023,CL0J095.4.6
DS11.05172,IA3023,CL0J095.4.6
